customer_id,loan_id,ACC_CREATION_DATETIME,APPLICATION_DATETIME,LOAN_ORIGINATION_DATETIME,max_days_late,target,account_to_application_days,n_sf_apps,first_app_date,last_app_date,n_bnpl_apps,n_bnpl_approved_apps,first_bnpl_app_date,last_bnpl_app_date,n_inquiries_l3m,n_inquiries_l6m,antiquity_account,last_app_date_to_application_days,first_app_date_to_application_days,last_bnpl_app_date_to_application_days,first_bnpl_app_date_to_application_days,first_app_date_to_last_app_date_days,first_bnpl_app_date_to_last_bnpl_app_date_days,vintage
701,28,2021-06-19 21:05:09.000,2022-05-05 07:00:00.000,2022-09-07 21:15:58.000,2,0,319,3.0,2021-09-17 00:00:00.000,2022-05-05 00:00:00.000,,,,,0.0,0.0,319,0.0,230.0,,,230.0,,2022-9
5204,29,2022-04-26 16:27:34.000,2022-05-05 07:00:00.000,2022-07-20 15:56:31.000,0,0,8,1.0,2022-04-26 00:00:00.000,2022-04-26 00:00:00.000,1.0,0.0,2022-04-27 17:34:08.019,2022-04-27 17:34:08.019,,,8,9.0,9.0,7.0,7.0,0.0,0.0,2022-7
5406,32,2022-05-04 15:51:39.000,2022-05-05 07:00:00.000,2023-03-17 23:00:56.000,6,0,0,2.0,2022-05-04 00:00:00.000,2022-05-05 00:00:00.000,1.0,0.0,2022-05-04 21:00:48.338,2022-05-04 21:00:48.338,5.0,5.0,0,0.0,1.0,0.0,0.0,1.0,0.0,2023-3
3082,34,2022-01-23 19:08:23.000,2022-05-05 07:00:00.000,2022-08-04 13:45:57.000,3,0,101,3.0,2022-04-14 00:00:00.000,2022-05-05 00:00:00.000,1.0,0.0,2022-04-15 15:03:08.743,2022-04-15 15:03:08.743,15.0,15.0,101,0.0,21.0,19.0,19.0,21.0,0.0,2022-8
5420,37,2022-05-05 12:08:12.000,2022-05-05 07:00:00.000,2023-04-03 19:59:56.000,39,1,0,,,,,,,,,,0,,,,,,,2023-4
3779,41,2022-03-01 14:30:57.000,2022-05-05 07:00:00.000,2022-08-04 21:31:00.000,55,1,64,1.0,2022-03-16 00:00:00.000,2022-03-16 00:00:00.000,1.0,0.0,2022-03-16 18:32:59.398,2022-03-16 18:32:59.398,3.0,3.0,64,50.0,50.0,49.0,49.0,0.0,0.0,2022-8
3519,42,2022-02-17 00:28:40.000,2022-05-05 07:00:00.000,2023-04-04 16:23:12.000,4,0,77,1.0,2022-02-17 00:00:00.000,2022-02-17 00:00:00.000,,,,,38.0,38.0,77,77.0,77.0,,,0.0,,2023-4
3846,45,2022-03-04 15:42:28.000,2022-05-05 07:00:00.000,2023-01-12 17:20:13.000,33,0,61,2.0,2022-05-04 00:00:00.000,2022-05-05 00:00:00.000,1.0,0.0,2022-04-30 02:47:25.965,2022-04-30 02:47:25.965,33.0,33.0,61,0.0,1.0,5.0,5.0,1.0,0.0,2023-1
3213,46,2022-02-01 07:18:17.000,2022-05-05 07:00:00.000,2022-07-19 12:40:55.000,5,0,92,3.0,2022-02-18 00:00:00.000,2022-05-05 00:00:00.000,1.0,0.0,2022-04-02 21:20:59.780,2022-04-02 21:20:59.780,57.0,57.0,92,0.0,76.0,32.0,32.0,76.0,0.0,2022-7
2347,49,2021-11-07 16:42:20.000,2022-05-05 07:00:00.000,2022-09-20 14:30:56.000,0,0,178,4.0,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000,,,,,0.0,6.0,178,0.0,0.0,,,0.0,,2022-9
4134,51,2022-03-15 15:03:31.000,2022-05-05 07:00:00.000,2023-01-03 14:33:00.000,28,0,50,,,,1.0,0.0,2022-03-15 20:14:54.886,2022-03-15 20:14:54.886,,,50,,,50.0,50.0,,0.0,2023-1
1752,53,2021-09-23 17:24:09.000,2022-05-05 07:00:00.000,2022-08-12 21:31:11.000,3,0,223,,,,1.0,1.0,2022-04-23 00:33:40.897,2022-04-23 00:33:40.897,,,223,,,12.0,12.0,,0.0,2022-8
414,54,2021-05-10 11:39:52.000,2022-05-05 07:00:00.000,2023-03-27 21:08:51.000,2,0,359,1.0,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000,1.0,1.0,2022-01-08 04:31:34.034,2022-01-08 04:31:34.034,0.0,49.0,359,0.0,0.0,117.0,117.0,0.0,0.0,2023-3
4222,56,2022-03-19 19:20:28.000,2022-05-05 07:00:00.000,2022-10-18 10:41:19.000,0,0,46,2.0,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000,1.0,0.0,2022-03-20 00:29:17.071,2022-03-20 00:29:17.071,19.0,19.0,46,0.0,0.0,46.0,46.0,0.0,0.0,2022-10
4840,61,2022-04-13 14:41:58.000,2022-05-05 07:00:00.000,2023-01-09 21:53:06.000,0,0,21,1.0,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,,,33.0,33.0,21,4.0,4.0,,,0.0,,2023-1
1520,63,2021-09-11 15:22:52.000,2022-05-05 07:00:00.000,2022-08-16 18:40:11.000,1,0,235,,,,1.0,0.0,2022-03-17 01:42:26.366,2022-03-17 01:42:26.366,7.0,7.0,235,,,49.0,49.0,,0.0,2022-8
2549,64,2021-11-29 11:32:52.000,2022-05-05 07:00:00.000,2022-09-28 21:00:54.000,0,0,156,1.0,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000,,,,,,,156,0.0,0.0,,,0.0,,2022-9
5342,67,2022-05-01 16:38:00.000,2022-05-06 07:00:00.000,2023-02-15 18:02:11.000,0,0,4,1.0,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,1.0,0.0,2022-05-02 00:17:57.758,2022-05-02 00:17:57.758,,,4,5.0,5.0,4.0,4.0,0.0,0.0,2023-2
563,68,2021-06-03 15:08:52.000,2022-05-06 07:00:00.000,2022-08-10 09:41:14.000,7,0,336,3.0,2021-07-05 00:00:00.000,2021-12-25 00:00:00.000,,,,,0.0,0.0,336,132.0,305.0,,,173.0,,2022-8
3344,69,2022-02-07 14:01:40.000,2022-05-06 07:00:00.000,2022-07-09 21:01:39.000,12,0,87,1.0,2022-04-15 00:00:00.000,2022-04-15 00:00:00.000,1.0,0.0,2022-04-15 16:43:55.156,2022-04-15 16:43:55.156,32.0,32.0,87,21.0,21.0,20.0,20.0,0.0,0.0,2022-7
4651,72,2022-04-05 20:49:51.000,2022-05-06 07:00:00.000,2022-08-30 15:12:20.000,0,0,30,,,,1.0,0.0,2022-04-07 00:56:20.881,2022-04-07 00:56:20.881,13.0,13.0,30,,,29.0,29.0,,0.0,2022-8
715,73,2021-06-21 16:02:22.000,2022-05-06 07:00:00.000,2022-07-28 15:20:55.000,3,0,318,,,,,,,,,,318,,,,,,,2022-7
4767,75,2022-04-10 16:42:08.000,2022-05-06 07:00:00.000,2022-09-21 07:30:57.000,11,0,25,,,,1.0,1.0,2022-04-19 00:36:41.100,2022-04-19 00:36:41.100,22.0,22.0,25,,,17.0,17.0,,0.0,2022-9
4694,78,2022-04-07 16:52:49.000,2022-05-06 07:00:00.000,2022-07-18 20:27:18.000,69,1,28,1.0,2022-04-07 00:00:00.000,2022-04-07 00:00:00.000,1.0,0.0,2022-04-10 05:02:06.456,2022-04-10 05:02:06.456,16.0,16.0,28,29.0,29.0,26.0,26.0,0.0,0.0,2022-7
2737,79,2021-12-19 22:56:09.000,2022-05-06 07:00:00.000,2022-07-27 14:31:06.000,70,1,137,4.0,2022-02-08 00:00:00.000,2022-05-06 00:00:00.000,1.0,0.0,2022-04-01 11:22:59.118,2022-04-01 11:22:59.118,0.0,55.0,137,0.0,87.0,34.0,34.0,87.0,0.0,2022-7
3107,80,2022-01-25 20:48:03.000,2022-05-06 07:00:00.000,2022-09-14 19:22:00.000,0,0,100,2.0,2022-02-10 00:00:00.000,2022-04-28 00:00:00.000,1.0,0.0,2022-04-28 21:48:06.556,2022-04-28 21:48:06.556,13.0,13.0,100,8.0,85.0,7.0,7.0,77.0,0.0,2022-9
3751,82,2022-02-27 21:45:51.000,2022-05-06 07:00:00.000,2023-02-23 09:30:16.000,0,0,67,1.0,2022-02-27 00:00:00.000,2022-02-27 00:00:00.000,1.0,0.0,2022-03-07 19:25:18.181,2022-03-07 19:25:18.181,26.0,26.0,67,68.0,68.0,59.0,59.0,0.0,0.0,2023-2
4751,83,2022-04-09 16:10:24.000,2022-05-06 07:00:00.000,2022-09-09 21:16:00.000,1,0,26,1.0,2022-04-14 00:00:00.000,2022-04-14 00:00:00.000,1.0,1.0,2022-04-16 21:25:26.160,2022-04-16 21:25:26.160,26.0,26.0,26,22.0,22.0,19.0,19.0,0.0,0.0,2022-9
5304,84,2022-04-30 11:22:40.000,2022-05-06 07:00:00.000,2022-08-31 17:32:28.000,2,0,5,,,,1.0,0.0,2022-04-30 16:31:27.321,2022-04-30 16:31:27.321,28.0,28.0,5,,,5.0,5.0,,0.0,2022-8
1340,87,2021-09-02 23:29:30.000,2022-05-06 07:00:00.000,2022-07-31 13:32:24.000,21,0,245,3.0,2021-10-29 00:00:00.000,2022-05-06 00:00:00.000,1.0,0.0,2022-03-04 04:06:58.401,2022-03-04 04:06:58.401,0.0,0.0,245,0.0,189.0,63.0,63.0,189.0,0.0,2022-7
3084,90,2022-01-23 21:04:06.000,2022-05-06 07:00:00.000,2023-01-30 21:28:08.000,3,0,102,3.0,2022-05-05 00:00:00.000,2022-05-06 00:00:00.000,,,,,36.0,36.0,102,0.0,1.0,,,1.0,,2023-1
1602,91,2021-09-15 16:34:19.000,2022-05-06 07:00:00.000,2023-01-24 09:28:30.000,0,0,232,1.0,2021-09-17 00:00:00.000,2021-09-17 00:00:00.000,,,,,,,232,231.0,231.0,,,0.0,,2023-1
3269,92,2022-02-03 20:26:15.000,2022-05-06 07:00:00.000,2022-07-12 19:21:18.000,22,0,91,1.0,2022-02-15 00:00:00.000,2022-02-15 00:00:00.000,,,,,17.0,17.0,91,80.0,80.0,,,0.0,,2022-7
1320,93,2021-09-02 08:10:07.000,2022-05-06 07:00:00.000,2022-07-19 14:01:37.000,1,0,245,2.0,2021-09-02 00:00:00.000,2022-03-14 00:00:00.000,1.0,0.0,2022-03-15 00:48:23.075,2022-03-15 00:48:23.075,0.0,0.0,245,53.0,246.0,52.0,52.0,193.0,0.0,2022-7
3772,95,2022-02-28 23:14:48.000,2022-05-06 07:00:00.000,2023-03-31 18:31:05.000,0,0,66,2.0,2022-02-28 00:00:00.000,2022-03-25 00:00:00.000,1.0,0.0,2022-03-26 00:49:44.639,2022-03-26 00:49:44.639,31.0,31.0,66,42.0,67.0,41.0,41.0,25.0,0.0,2023-3
2535,97,2021-11-28 14:03:20.000,2022-05-06 07:00:00.000,2023-02-23 16:10:18.000,0,0,158,1.0,2021-12-27 00:00:00.000,2021-12-27 00:00:00.000,,,,,,,158,130.0,130.0,,,0.0,,2023-2
4898,98,2022-04-14 20:17:26.000,2022-05-06 07:00:00.000,2023-02-11 20:55:01.000,0,0,21,1.0,2022-04-14 00:00:00.000,2022-04-14 00:00:00.000,1.0,0.0,2022-04-23 00:24:12.557,2022-04-23 00:24:12.557,21.0,21.0,21,22.0,22.0,13.0,13.0,0.0,0.0,2023-2
231,99,2021-03-25 14:02:47.000,2022-05-06 07:00:00.000,2022-10-11 19:15:56.000,0,0,406,5.0,2021-09-07 00:00:00.000,2022-05-03 00:00:00.000,,,,,0.0,0.0,406,3.0,241.0,,,238.0,,2022-10
101,103,2021-01-17 18:05:24.000,2022-05-06 07:00:00.000,2022-10-22 10:00:56.000,2,0,473,1.0,2022-03-02 00:00:00.000,2022-03-02 00:00:00.000,1.0,1.0,2022-02-19 00:57:55.559,2022-02-19 00:57:55.559,15.0,15.0,473,65.0,65.0,76.0,76.0,0.0,0.0,2022-10
5424,104,2022-05-05 13:20:20.000,2022-05-06 07:00:00.000,2023-02-11 13:41:42.000,28,0,0,2.0,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000,1.0,0.0,2022-05-05 18:25:37.621,2022-05-05 18:25:37.621,2.0,2.0,0,1.0,1.0,0.0,0.0,0.0,0.0,2023-2
5129,106,2022-04-22 17:57:24.000,2022-05-06 07:00:00.000,2023-01-10 21:18:53.000,0,0,13,2.0,2022-04-22 00:00:00.000,2022-05-06 00:00:00.000,1.0,0.0,2022-05-05 04:15:10.306,2022-05-05 04:15:10.306,8.0,8.0,13,0.0,14.0,1.0,1.0,14.0,0.0,2023-1
5435,107,2022-05-06 14:51:20.000,2022-05-06 07:00:00.000,2023-01-18 15:17:53.000,4,0,0,,,,,,,,,,0,,,,,,,2023-1
5440,108,2022-05-06 20:04:01.000,2022-05-06 07:00:00.000,2022-11-11 10:25:44.000,5,0,0,,,,,,,,,,0,,,,,,,2022-11
1450,109,2021-09-07 19:24:55.000,2022-05-06 07:00:00.000,2023-01-15 09:11:06.000,1,0,240,1.0,2021-11-27 00:00:00.000,2021-11-27 00:00:00.000,,,,,0.0,12.0,240,160.0,160.0,,,0.0,,2023-1
1064,112,2021-08-05 12:47:26.000,2022-05-06 07:00:00.000,2022-08-06 15:22:12.000,0,0,273,7.0,2022-05-06 00:00:00.000,2022-05-06 00:00:00.000,,,,,0.0,0.0,273,0.0,0.0,,,0.0,,2022-8
3883,113,2022-03-05 19:47:27.000,2022-05-06 07:00:00.000,2022-12-31 09:31:57.000,4,0,61,1.0,2022-03-05 00:00:00.000,2022-03-05 00:00:00.000,1.0,0.0,2022-03-06 00:57:25.892,2022-03-06 00:57:25.892,10.0,10.0,61,62.0,62.0,61.0,61.0,0.0,0.0,2022-12
1745,115,2021-09-23 13:55:43.000,2022-05-06 07:00:00.000,2022-07-26 13:33:12.000,0,0,224,1.0,2021-09-23 00:00:00.000,2021-09-23 00:00:00.000,,,,,0.0,0.0,224,225.0,225.0,,,0.0,,2022-7
5040,116,2022-04-19 18:30:30.000,2022-05-06 07:00:00.000,2022-09-20 16:43:30.000,0,0,16,1.0,2022-04-29 00:00:00.000,2022-04-29 00:00:00.000,1.0,0.0,2022-04-30 02:13:18.699,2022-04-30 02:13:18.699,16.0,16.0,16,7.0,7.0,6.0,6.0,0.0,0.0,2022-9
5029,118,2022-04-19 16:19:44.000,2022-05-06 07:00:00.000,2022-07-13 15:14:45.000,3,0,16,1.0,2022-04-19 00:00:00.000,2022-04-19 00:00:00.000,,,,,8.0,8.0,16,17.0,17.0,,,0.0,,2022-7
979,120,2021-07-25 16:47:35.000,2022-05-06 07:00:00.000,2022-09-03 14:10:15.000,1,0,284,8.0,2022-01-19 00:00:00.000,2022-05-06 00:00:00.000,1.0,1.0,2022-03-13 19:22:11.262,2022-03-13 19:22:11.262,0.0,0.0,284,0.0,107.0,53.0,53.0,107.0,0.0,2022-9
11,122,2020-10-27 23:38:07.000,2022-05-06 07:00:00.000,2023-02-11 16:16:17.000,0,0,555,4.0,2021-05-08 00:00:00.000,2021-06-23 00:00:00.000,1.0,0.0,2022-03-14 20:53:54.167,2022-03-14 20:53:54.167,0.0,0.0,555,317.0,363.0,52.0,52.0,46.0,0.0,2023-2
929,123,2021-07-19 21:46:44.000,2022-05-06 07:00:00.000,2023-01-12 17:20:13.000,6,0,290,,,,,,,,,,290,,,,,,,2023-1
4489,124,2022-03-29 23:11:57.000,2022-05-06 07:00:00.000,2023-03-27 19:25:35.000,5,0,37,,,,1.0,0.0,2022-04-16 01:55:40.157,2022-04-16 01:55:40.157,82.0,82.0,37,,,20.0,20.0,,0.0,2023-3
2810,126,2021-12-29 21:21:16.000,2022-05-06 07:00:00.000,2023-01-07 09:34:36.000,0,0,127,3.0,2021-12-29 00:00:00.000,2022-05-06 00:00:00.000,1.0,0.0,2022-04-14 21:22:00.319,2022-04-14 21:22:00.319,0.0,37.0,127,0.0,128.0,21.0,21.0,128.0,0.0,2023-1
4647,129,2022-04-05 15:45:03.000,2022-05-06 07:00:00.000,2022-09-13 11:53:21.000,3,0,30,,,,,,,,,,30,,,,,,,2022-9
1923,131,2021-10-05 15:33:22.000,2022-05-06 07:00:00.000,2022-09-14 14:16:06.000,0,0,212,4.0,2022-03-31 00:00:00.000,2022-05-06 00:00:00.000,1.0,0.0,2022-03-10 23:20:18.736,2022-03-10 23:20:18.736,0.0,0.0,212,0.0,36.0,56.0,56.0,36.0,0.0,2022-9
357,132,2021-04-28 19:14:17.000,2022-05-06 07:00:00.000,2023-02-13 16:42:45.000,7,0,372,,,,,,,,,,372,,,,,,,2023-2
2228,133,2021-10-27 19:22:40.000,2022-05-06 07:00:00.000,2022-11-12 17:26:51.000,0,0,190,,,,1.0,1.0,2022-02-18 21:14:34.498,2022-02-18 21:14:34.498,9.0,9.0,190,,,76.0,76.0,,0.0,2022-11
3741,136,2022-02-27 14:13:14.000,2022-05-06 07:00:00.000,2023-02-21 20:16:50.000,1,0,67,1.0,2022-02-27 00:00:00.000,2022-02-27 00:00:00.000,,,,,23.0,23.0,67,68.0,68.0,,,0.0,,2023-2
5272,139,2022-04-28 22:24:06.000,2022-05-07 07:00:00.000,2022-07-01 16:09:15.000,7,0,8,2.0,2022-05-02 00:00:00.000,2022-05-03 00:00:00.000,1.0,0.0,2022-04-29 03:30:15.516,2022-04-29 03:30:15.516,49.0,49.0,8,4.0,5.0,8.0,8.0,1.0,0.0,2022-7
3578,141,2022-02-20 05:43:06.000,2022-05-07 07:00:00.000,2022-10-25 13:29:56.000,16,0,76,1.0,2022-02-20 00:00:00.000,2022-02-20 00:00:00.000,1.0,0.0,2022-03-13 09:41:18.514,2022-03-13 09:41:18.514,33.0,33.0,76,76.0,76.0,54.0,54.0,0.0,0.0,2022-10
3477,142,2022-02-14 14:43:37.000,2022-05-07 07:00:00.000,2022-09-30 21:15:59.000,0,0,81,1.0,2022-03-17 00:00:00.000,2022-03-17 00:00:00.000,1.0,0.0,2022-03-18 00:54:59.139,2022-03-18 00:54:59.139,26.0,26.0,81,51.0,51.0,50.0,50.0,0.0,0.0,2022-9
1368,143,2021-09-04 10:40:04.000,2022-05-07 07:00:00.000,2022-08-03 21:31:08.000,8,0,244,1.0,2022-02-13 00:00:00.000,2022-02-13 00:00:00.000,1.0,0.0,2022-03-04 05:01:08.218,2022-03-04 05:01:08.218,44.0,44.0,244,83.0,83.0,64.0,64.0,0.0,0.0,2022-8
5211,144,2022-04-26 18:05:35.000,2022-05-07 07:00:00.000,2022-09-06 09:45:53.000,63,1,10,1.0,2022-04-27 00:00:00.000,2022-04-27 00:00:00.000,,,,,49.0,49.0,10,10.0,10.0,,,0.0,,2022-9
1371,145,2021-09-04 12:02:23.000,2022-05-07 07:00:00.000,2023-02-27 20:59:40.000,4,0,244,1.0,2021-12-20 00:00:00.000,2021-12-20 00:00:00.000,1.0,1.0,2022-02-18 23:58:05.236,2022-02-18 23:58:05.236,0.0,7.0,244,138.0,138.0,77.0,77.0,0.0,0.0,2023-2
5296,146,2022-04-29 19:52:54.000,2022-05-07 07:00:00.000,2023-03-15 12:40:53.000,0,0,7,1.0,2022-04-30 00:00:00.000,2022-04-30 00:00:00.000,1.0,0.0,2022-04-30 00:58:48.619,2022-04-30 00:58:48.619,37.0,37.0,7,7.0,7.0,7.0,7.0,0.0,0.0,2023-3
3202,147,2022-01-31 15:43:29.000,2022-05-07 07:00:00.000,2022-12-09 14:06:07.000,0,0,95,1.0,2022-01-31 00:00:00.000,2022-01-31 00:00:00.000,,,,,,,95,96.0,96.0,,,0.0,,2022-12
1622,148,2021-09-16 17:33:10.000,2022-05-07 07:00:00.000,2022-11-08 15:13:40.000,0,0,232,1.0,2021-09-27 00:00:00.000,2021-09-27 00:00:00.000,1.0,0.0,2022-03-22 23:38:45.119,2022-03-22 23:38:45.119,0.0,0.0,232,222.0,222.0,45.0,45.0,0.0,0.0,2022-11
4212,150,2022-03-19 13:40:32.000,2022-05-07 07:00:00.000,2022-09-22 21:17:11.000,14,0,48,3.0,2022-03-19 00:00:00.000,2022-04-09 00:00:00.000,1.0,0.0,2022-03-19 18:53:41.880,2022-03-19 18:53:41.880,43.0,43.0,48,28.0,49.0,48.0,48.0,21.0,0.0,2022-9
756,152,2021-06-26 14:59:29.000,2022-05-07 07:00:00.000,2022-09-26 21:16:00.000,0,0,314,,,,1.0,1.0,2022-04-06 23:34:51.538,2022-04-06 23:34:51.538,25.0,25.0,314,,,30.0,30.0,,0.0,2022-9
5301,155,2022-04-29 23:11:16.000,2022-05-07 07:00:00.000,2022-11-22 19:49:08.000,0,0,7,1.0,2022-04-29 00:00:00.000,2022-04-29 00:00:00.000,1.0,0.0,2022-04-30 15:20:30.096,2022-04-30 15:20:30.096,12.0,12.0,7,8.0,8.0,6.0,6.0,0.0,0.0,2022-11
1541,156,2021-09-13 10:39:07.000,2022-05-07 07:00:00.000,2022-10-28 07:15:56.000,63,1,235,3.0,2021-10-25 00:00:00.000,2022-04-22 00:00:00.000,,,,,0.0,0.0,235,15.0,194.0,,,179.0,,2022-10
3391,158,2022-02-09 16:18:40.000,2022-05-07 07:00:00.000,2022-09-02 17:31:00.000,5,0,86,1.0,2022-04-21 00:00:00.000,2022-04-21 00:00:00.000,1.0,0.0,2022-04-21 05:10:39.337,2022-04-21 05:10:39.337,17.0,17.0,86,16.0,16.0,16.0,16.0,0.0,0.0,2022-9
3095,159,2022-01-24 20:11:03.000,2022-05-07 07:00:00.000,2023-02-25 15:48:46.000,0,0,102,1.0,2022-01-24 00:00:00.000,2022-01-24 00:00:00.000,,,,,,,102,103.0,103.0,,,0.0,,2023-2
1573,160,2021-09-14 15:14:36.000,2022-05-07 07:00:00.000,2022-09-24 21:06:07.000,0,0,234,1.0,2021-09-14 00:00:00.000,2021-09-14 00:00:00.000,,,,,0.0,0.0,234,235.0,235.0,,,0.0,,2022-9
2229,161,2021-10-27 19:41:14.000,2022-05-07 07:00:00.000,2022-10-24 16:00:56.000,0,0,191,4.0,2021-10-28 00:00:00.000,2022-04-29 00:00:00.000,1.0,1.0,2022-03-05 14:59:06.055,2022-03-05 14:59:06.055,0.0,0.0,191,8.0,191.0,62.0,62.0,183.0,0.0,2022-10
4719,163,2022-04-08 16:41:26.000,2022-05-07 07:00:00.000,2022-07-27 14:31:12.000,31,0,28,1.0,2022-04-10 00:00:00.000,2022-04-10 00:00:00.000,1.0,1.0,2022-04-10 14:50:16.075,2022-04-10 14:50:16.075,,,28,27.0,27.0,26.0,26.0,0.0,0.0,2022-7
1613,165,2021-09-16 11:08:15.000,2022-05-07 07:00:00.000,2022-09-29 11:36:59.000,3,0,232,1.0,2022-04-07 00:00:00.000,2022-04-07 00:00:00.000,,,,,0.0,0.0,232,30.0,30.0,,,0.0,,2022-9
3431,167,2022-02-11 20:16:41.000,2022-05-07 07:00:00.000,2023-02-23 15:34:47.000,0,0,84,,,,,,,,,,84,,,,,,,2023-2
